color,center,shape
gray,[47 32],circle
yellow,[20 59],rectangle
red,[54 38],rectangle
green,[34  7],circle
blue,[ 6 21],rectangle
orange,[14 59],rectangle
gray,[ 5 46],rectangle
yellow,[28 26],rectangle
red,[49 66],circle
green,[53 21],rectangle
blue,[ 5 46],circle
orange,[43 48],circle
gray,[63 41],circle
yellow,[24 69],circle
red,[36 30],circle
green,[59 32],rectangle
blue,[29 67],circle
orange,[22 41],rectangle
gray,[55  9],rectangle
yellow,[65 59],rectangle
red,[48 35],rectangle
green,[11 30],circle
blue,[27 30],circle
orange,[60 25],rectangle
gray,[31 12],rectangle
yellow,[14 51],rectangle
red,[27  8],rectangle
green,[56 57],rectangle
blue,[43 40],rectangle
orange,[13 26],circle
gray,[56 13],circle
yellow,[22 62],rectangle
red,[19 24],circle
green,[45  8],circle
blue,[65 31],rectangle
orange,[67 55],circle
gray,[24 65],circle
yellow,[28 46],rectangle
red,[52 13],rectangle
green,[ 7 48],circle
blue,[14 22],circle
orange,[68 43],rectangle
gray,[54 32],rectangle
yellow,[35 15],rectangle
red,[50 46],circle
green,[26 44],rectangle
blue,[48  9],circle
orange,[25 64],circle
gray,[17 10],rectangle
yellow,[27 26],rectangle
red,[26 31],circle
green,[26 13],circle
blue,[ 5 19],rectangle
orange,[61 37],rectangle
gray,[30 66],rectangle
yellow,[14 52],circle
red,[46 38],rectangle
green,[60  5],rectangle
blue,[41 14],circle
orange,[ 8 65],circle
gray,[28 55],circle
yellow,[ 6 47],circle
red,[61 19],circle
green,[ 6 31],circle
blue,[55 42],circle
orange,[34 17],circle
gray,[32 32],circle
yellow,[48 59],circle
red,[22 65],circle
green,[30 28],rectangle
blue,[ 6 34],circle
orange,[10 14],rectangle
gray,[54 67],rectangle
yellow,[41 59],rectangle
red,[28 25],circle
green,[68 14],circle
blue,[68 39],circle
orange,[21  7],rectangle
gray,[49  8],circle
yellow,[15 41],circle
red,[35 31],rectangle
green,[59 62],circle
blue,[51 48],rectangle
orange,[10 23],circle
gray,[67 31],circle
yellow,[16 43],rectangle
red,[32 67],circle
green,[65 54],circle
blue,[68 33],rectangle
orange,[66  6],rectangle
gray,[39 47],circle
yellow,[10 60],circle
red,[68 56],circle
green,[48 16],circle
blue,[32 48],circle
orange,[52 54],circle
gray,[40 33],rectangle
yellow,[39 66],circle
red,[13 52],circle
green,[53  6],circle
blue,[67 60],circle
orange,[16 21],circle
gray,[48 32],circle
yellow,[31 43],circle
red,[60 10],rectangle
green,[34 13],circle
blue,[19 62],rectangle
orange,[48 41],rectangle
gray,[43 64],rectangle
yellow,[ 6 28],circle
red,[12  5],circle
green,[65 65],rectangle
blue,[54 13],circle
orange,[38 27],circle
gray,[13 54],circle
yellow,[33 49],circle
red,[11 59],rectangle
green,[67  9],rectangle
blue,[37 44],rectangle
orange,[38 18],circle
gray,[16 43],circle
yellow,[66 53],circle
red,[32 68],circle
green,[36 51],circle
blue,[42 22],rectangle
orange,[11 65],rectangle
gray,[25 20],rectangle
yellow,[51  5],rectangle
red,[12 19],rectangle
green,[69 55],circle
blue,[57 27],rectangle
orange,[58  9],rectangle
gray,[53 62],rectangle
yellow,[17 39],circle
red,[34 47],circle
green,[65 27],rectangle
blue,[52 65],rectangle
orange,[14 62],rectangle
gray,[ 9 42],rectangle
yellow,[69 50],circle
red,[50 69],rectangle
green,[39 20],circle
blue,[25 13],circle
orange,[12 51],rectangle
gray,[61 44],rectangle
yellow,[52 11],circle
red,[65 44],circle
green,[27 69],rectangle
blue,[42 18],rectangle
orange,[37 37],circle
gray,[43 68],circle
yellow,[55 59],circle
red,[13 18],circle
green,[39 59],rectangle
blue,[14 58],rectangle
orange,[59 22],circle
gray,[69  7],rectangle
yellow,[37 10],circle
red,[12  9],circle
green,[27  6],rectangle
blue,[53 44],rectangle
orange,[11 29],circle
gray,[62 65],rectangle
yellow,[27 40],rectangle
red,[61 48],rectangle
green,[52 19],circle
blue,[17 48],rectangle
orange,[25 27],rectangle
gray,[44 68],circle
yellow,[50 36],circle
red,[47 20],circle
green,[18 20],circle
blue,[ 6 36],rectangle
orange,[22 46],rectangle
gray,[35 67],circle
yellow,[64 48],rectangle
red,[39 22],circle
green,[53  8],circle
blue,[68 11],circle
orange,[16 46],rectangle
gray,[22 32],rectangle
yellow,[63 36],circle
red,[65 26],rectangle
green,[10 54],circle
blue,[48 11],circle
orange,[62 62],circle
gray,[29 36],circle
yellow,[16 17],circle
red,[12 45],rectangle
green,[14 12],circle
blue,[56 41],circle
orange,[23 28],circle
gray,[55  5],rectangle
yellow,[32 15],rectangle
red,[37 13],circle
green,[14 13],circle
blue,[31 36],rectangle
orange,[64  8],rectangle
gray,[68 42],rectangle
yellow,[39 56],rectangle
red,[51 41],circle
green,[67 63],circle
blue,[ 6 36],rectangle
orange,[26  5],circle
gray,[12 21],circle
yellow,[52 20],rectangle
red,[25 59],rectangle
green,[67 67],rectangle
blue,[62  8],rectangle
orange,[45 13],circle
gray,[25 43],rectangle
yellow,[27 20],rectangle
red,[24 40],rectangle
green,[17 22],circle
blue,[46 12],circle
orange,[67 55],rectangle
gray,[37 25],circle
yellow,[59 69],circle
red,[ 6 14],rectangle
green,[65 31],circle
blue,[12 54],rectangle
orange,[14 29],circle
gray,[30 16],circle
yellow,[45  8],circle
red,[28 13],circle
green,[65 20],rectangle
blue,[27 66],circle
orange,[63 67],circle
gray,[12 53],rectangle
yellow,[38 36],rectangle
red,[ 5 30],rectangle
green,[37 59],circle
blue,[14 18],rectangle
orange,[43 40],rectangle
gray,[19 63],circle
yellow,[58 55],circle
red,[64 16],circle
green,[ 9 50],rectangle
blue,[59 68],circle
orange,[21 13],rectangle
gray,[40 53],rectangle
yellow,[26 34],circle
red,[37 61],rectangle
green,[35 43],rectangle
blue,[57 62],circle
orange,[68 31],rectangle
gray,[13 53],circle
yellow,[51 24],circle
red,[17 48],rectangle
green,[59 33],circle
blue,[52 48],rectangle
orange,[16 64],rectangle
gray,[68 19],circle
yellow,[47 23],rectangle
red,[43 56],rectangle
green,[32 18],circle
blue,[56 26],rectangle
orange,[58 50],circle
gray,[11  5],circle
yellow,[12 25],circle
red,[11 29],rectangle
green,[36 11],circle
blue,[31 38],circle
orange,[52 21],rectangle
gray,[67 32],circle
yellow,[44 65],circle
red,[ 8 12],circle
green,[25 16],rectangle
blue,[38 68],rectangle
orange,[45 51],rectangle
gray,[25 52],circle
yellow,[57  8],circle
red,[23 68],circle
green,[66 57],rectangle
blue,[33  9],rectangle
orange,[ 7 14],rectangle
gray,[49 50],rectangle
yellow,[15 55],circle
red,[13 36],rectangle
green,[68 25],circle
blue,[40 14],rectangle
orange,[30 42],rectangle
gray,[47 47],circle
yellow,[64 62],circle
red,[ 6 45],circle
green,[42 34],circle
blue,[20 39],circle
orange,[55 13],circle
gray,[22 56],rectangle
yellow,[54 52],rectangle
red,[30 17],circle
green,[37 68],rectangle
blue,[58 19],circle
orange,[ 9 10],circle
gray,[49 43],rectangle
yellow,[68 58],rectangle
red,[62 47],rectangle
green,[39  7],rectangle
blue,[47 38],rectangle
orange,[57  9],circle
gray,[68 21],circle
yellow,[31 62],circle
red,[29 29],rectangle
green,[47 19],rectangle
blue,[37 43],circle
orange,[66 47],rectangle
gray,[46 56],circle
yellow,[24 67],circle
red,[41 25],rectangle
green,[46 67],circle
blue,[21 40],circle
orange,[47  6],circle
gray,[16 64],circle
yellow,[59 46],circle
red,[63 34],circle
green,[53 53],circle
blue,[21 62],circle
orange,[13 39],rectangle
gray,[49 18],rectangle
yellow,[25 22],rectangle
red,[32 31],rectangle
green,[60 53],circle
blue,[56 36],rectangle
orange,[54 11],circle
gray,[10 56],circle
yellow,[25 58],rectangle
red,[49 26],rectangle
green,[17 50],rectangle
blue,[32  5],rectangle
orange,[67 60],rectangle
gray,[29 28],circle
yellow,[17 11],rectangle
red,[57 51],rectangle
green,[13 19],rectangle
blue,[10 43],circle
orange,[55 33],rectangle
gray,[41  8],circle
yellow,[67 23],circle
red,[46  5],rectangle
green,[45 40],circle
blue,[67 67],circle
orange,[61  6],rectangle
gray,[15 43],circle
yellow,[34 65],rectangle
red,[56 28],rectangle
green,[42 57],circle
blue,[19 18],rectangle
orange,[41 36],rectangle
gray,[57 64],circle
yellow,[ 6 35],rectangle
red,[19 19],rectangle
green,[61 30],rectangle
blue,[62 69],circle
orange,[46  6],circle
gray,[50 53],rectangle
yellow,[41 29],rectangle
red,[44 25],circle
green,[37 57],circle
blue,[15 19],rectangle
orange,[69 14],circle
gray,[46 40],circle
yellow,[22 58],rectangle
red,[58 58],rectangle
green,[17 23],rectangle
blue,[62 36],rectangle
orange,[18 50],circle
gray,[29 65],rectangle
yellow,[21  7],circle
red,[31 65],circle
green,[25 27],rectangle
blue,[22 48],circle
orange,[66 13],circle
gray,[49 40],circle
yellow,[ 6 30],rectangle
red,[19 17],rectangle
green,[58 27],rectangle
blue,[43 66],rectangle
orange,[58  6],rectangle
gray,[23 49],circle
yellow,[ 5 56],circle
red,[40 30],rectangle
green,[56 28],rectangle
blue,[49 43],rectangle
orange,[ 5 24],rectangle
gray,[25 17],circle
yellow,[30 43],circle
red,[30 59],circle
green,[60 30],circle
blue,[53 56],rectangle
orange,[24  8],rectangle
gray,[16 44],rectangle
yellow,[10 69],rectangle
red,[67 26],rectangle
green,[18 23],rectangle
blue,[42 54],rectangle
orange,[29 12],rectangle
gray,[17 51],rectangle
yellow,[59 64],rectangle
red,[26 69],rectangle
green,[12 16],circle
blue,[64 25],rectangle
orange,[13 32],circle
gray,[46 37],circle
yellow,[69 59],rectangle
red,[50 18],circle
green,[ 8 11],rectangle
blue,[40 55],rectangle
orange,[36 40],rectangle
gray,[11 47],rectangle
yellow,[35 23],circle
red,[ 8 61],circle
green,[20 43],rectangle
blue,[62 61],rectangle
orange,[45 55],rectangle
gray,[12 13],circle
yellow,[29 25],rectangle
red,[50 40],circle
green,[69 47],circle
blue,[27 55],rectangle
orange,[58 20],rectangle
gray,[ 5 30],circle
yellow,[40 13],circle
red,[14 44],rectangle
green,[65 47],rectangle
blue,[55 23],rectangle
orange,[16  8],rectangle
gray,[32 12],rectangle
yellow,[64 10],rectangle
red,[23 64],circle
green,[18 37],circle
blue,[56 41],rectangle
orange,[39 59],circle
gray,[ 7 19],rectangle
yellow,[31 18],rectangle
red,[17 62],circle
green,[45 19],circle
blue,[40 36],circle
orange,[64 46],rectangle
gray,[22 26],rectangle
yellow,[30 11],rectangle
red,[62 49],circle
green,[ 5 36],circle
blue,[23 22],circle
orange,[38 40],circle
gray,[24 60],rectangle
yellow,[55 68],rectangle
red,[44 35],circle
green,[41 20],circle
blue,[ 6 50],rectangle
orange,[49 64],rectangle
gray,[26 66],rectangle
yellow,[66 42],circle
red,[68 19],circle
green,[62 44],rectangle
blue,[41 36],rectangle
orange,[ 9 24],rectangle
gray,[47 64],rectangle
yellow,[23 42],circle
red,[64 25],circle
green,[ 5 29],rectangle
blue,[37 26],circle
orange,[47 56],circle
gray,[29 42],circle
yellow,[14 59],circle
red,[ 8 64],circle
green,[11 21],circle
blue,[48 25],circle
orange,[ 5 44],circle
gray,[26 30],circle
yellow,[61 58],rectangle
red,[19 16],circle
green,[48 48],circle
blue,[34 20],rectangle
orange,[13 50],rectangle
gray,[52 26],circle
yellow,[67 68],circle
red,[67 16],circle
green,[50 35],circle
blue,[20 44],rectangle
orange,[19  8],rectangle
gray,[10 59],circle
yellow,[18 29],rectangle
red,[48 19],rectangle
green,[28 65],circle
blue,[18 38],circle
orange,[67 39],rectangle
gray,[52 49],circle
yellow,[33 29],rectangle
red,[65 41],circle
green,[53 32],circle
blue,[61 17],circle
orange,[47 54],rectangle
gray,[33 60],rectangle
yellow,[35 30],rectangle
red,[58 55],circle
green,[31  9],circle
blue,[15 60],rectangle
orange,[ 6 33],rectangle
gray,[39 68],rectangle
yellow,[55 12],circle
red,[36 24],circle
green,[51 22],rectangle
blue,[64 34],rectangle
orange,[56 55],rectangle
gray,[35 46],circle
yellow,[19  7],rectangle
red,[62 34],circle
green,[14 68],circle
blue,[ 7 31],circle
orange,[47 27],rectangle
gray,[61 51],rectangle
yellow,[46 42],rectangle
red,[44  5],circle
green,[69 63],circle
blue,[21 10],circle
orange,[16 25],rectangle
gray,[24 68],circle
yellow,[40 66],rectangle
red,[21 36],rectangle
green,[39 57],circle
blue,[41 29],circle
orange,[11  9],rectangle
gray,[54 18],rectangle
yellow,[25 15],rectangle
red,[56 48],rectangle
green,[19 36],rectangle
blue,[ 5 24],circle
orange,[41 55],circle
gray,[21 54],circle
yellow,[35 40],rectangle
red,[56  6],circle
green,[14 50],circle
blue,[62 66],rectangle
orange,[35 12],circle
gray,[49 49],circle
yellow,[68 47],rectangle
red,[12 62],rectangle
green,[58 58],circle
blue,[33 57],rectangle
orange,[ 8 33],rectangle
gray,[26 16],circle
yellow,[55 20],rectangle
red,[33 37],rectangle
green,[ 8 69],circle
blue,[13 36],circle
orange,[66  6],circle
gray,[32  9],rectangle
yellow,[57 35],rectangle
red,[69 49],rectangle
green,[27 20],circle
blue,[29 47],circle
orange,[18 60],rectangle
gray,[61  9],rectangle
yellow,[14 38],circle
red,[39 65],circle
green,[52 51],rectangle
blue,[50 26],rectangle
orange,[36 18],circle
gray,[33 35],rectangle
yellow,[22 49],circle
red,[29 34],circle
green,[62 34],circle
blue,[47 27],circle
orange,[68 63],rectangle
gray,[21  6],rectangle
yellow,[27 49],circle
red,[43 34],rectangle
green,[19 33],rectangle
blue,[57 57],circle
orange,[24 58],rectangle
gray,[ 5 26],circle
yellow,[39 50],rectangle
red,[59  8],rectangle
green,[31 27],rectangle
blue,[17 59],rectangle
orange,[64 49],circle
gray,[38  8],rectangle
yellow,[12 20],circle
red,[42 11],rectangle
green,[11 44],rectangle
blue,[50 31],circle
orange,[57 58],rectangle
gray,[37 69],rectangle
yellow,[7 7],circle
red,[42 61],rectangle
green,[43 41],circle
blue,[52 17],rectangle
orange,[ 9 31],rectangle
gray,[35 19],rectangle
yellow,[10  7],rectangle
red,[43 68],rectangle
green,[42 21],rectangle
blue,[18 21],rectangle
orange,[15 51],rectangle
gray,[ 9 34],circle
yellow,[57 54],rectangle
red,[10 35],rectangle
green,[52 10],rectangle
blue,[25 56],circle
orange,[25 31],rectangle
gray,[45 57],circle
yellow,[68 59],rectangle
red,[64 63],circle
green,[64 13],rectangle
blue,[40 61],rectangle
orange,[15 36],rectangle
gray,[31 44],circle
yellow,[53 52],rectangle
red,[59 27],circle
green,[69  8],rectangle
blue,[30 25],circle
orange,[14 14],rectangle
gray,[47 12],circle
yellow,[ 6 43],circle
red,[69  7],circle
green,[32  8],rectangle
blue,[61 27],circle
orange,[27 54],circle
gray,[ 5 28],circle
yellow,[49 42],rectangle
red,[47 64],circle
green,[35 44],rectangle
blue,[69 54],circle
orange,[15 45],rectangle
gray,[57 42],circle
yellow,[ 8 22],circle
red,[39 22],circle
green,[20 35],rectangle
blue,[38  5],rectangle
orange,[49 62],circle
gray,[6 5],rectangle
yellow,[44 40],rectangle
red,[42 48],circle
green,[26 27],circle
blue,[11 25],circle
orange,[46 11],circle
gray,[13  5],circle
yellow,[19 67],rectangle
red,[54 56],circle
green,[44  5],rectangle
blue,[17 60],rectangle
orange,[26 10],circle
gray,[5 6],rectangle
yellow,[41 21],circle
red,[44 15],rectangle
green,[17 44],rectangle
blue,[41 43],circle
orange,[10 22],circle
gray,[16  6],rectangle
yellow,[63 37],circle
red,[56 29],rectangle
green,[44 48],rectangle
blue,[15 32],circle
orange,[40 14],rectangle
gray,[12 62],circle
yellow,[ 9 16],rectangle
red,[19 55],circle
green,[63 17],circle
blue,[58 44],circle
orange,[35 57],rectangle
gray,[ 9 21],circle
yellow,[50 62],circle
red,[36 12],circle
green,[49 29],rectangle
blue,[10 63],rectangle
orange,[64 15],rectangle
gray,[14 47],circle
yellow,[31 44],circle
red,[48 60],circle
green,[64 37],rectangle
blue,[ 6 64],circle
orange,[27 34],circle
gray,[61 21],circle
yellow,[46 33],circle
red,[49 52],rectangle
green,[14 17],circle
blue,[34 65],circle
orange,[53 34],rectangle
gray,[30 38],rectangle
yellow,[ 6 52],circle
red,[20 59],circle
green,[ 8 43],circle
blue,[33 21],rectangle
orange,[43 34],rectangle
gray,[67 19],circle
yellow,[65 52],rectangle
red,[48 49],rectangle
green,[69 51],rectangle
blue,[25 30],circle
orange,[39 69],rectangle
gray,[20 65],circle
yellow,[22 45],circle
red,[32 12],circle
green,[69 58],circle
blue,[ 8 68],rectangle
orange,[45 45],rectangle
gray,[63  6],circle
yellow,[48 60],circle
red,[68 54],rectangle
green,[13 69],rectangle
blue,[33 43],rectangle
orange,[38 26],rectangle
gray,[63 10],circle
yellow,[52 54],circle
red,[10 42],circle
green,[37 27],rectangle
blue,[69 39],circle
orange,[55 23],circle
gray,[52 53],rectangle
yellow,[34 61],rectangle
red,[68 67],rectangle
green,[62 11],rectangle
blue,[57 26],rectangle
orange,[25 19],circle
gray,[41 10],circle
yellow,[25 56],rectangle
red,[36 10],rectangle
green,[40 38],rectangle
blue,[39 63],circle
orange,[52 49],rectangle
gray,[ 7 59],circle
yellow,[61 20],rectangle
red,[34 13],circle
green,[17 46],circle
blue,[68  8],circle
orange,[67 44],circle
gray,[12 14],rectangle
yellow,[52  9],rectangle
red,[59 69],circle
green,[64 42],rectangle
blue,[35 29],circle
orange,[ 5 65],rectangle
gray,[52 18],rectangle
yellow,[27 47],rectangle
red,[24 37],circle
green,[13 15],rectangle
blue,[46 63],rectangle
orange,[25 61],circle
gray,[66 28],circle
yellow,[ 5 50],circle
red,[19 37],rectangle
green,[11 50],circle
blue,[45 57],circle
orange,[30  6],rectangle
gray,[62 62],rectangle
yellow,[67 16],circle
red,[30 43],circle
green,[15 66],circle
blue,[46 18],rectangle
orange,[69 24],rectangle
gray,[50 42],circle
yellow,[12 23],rectangle
red,[52 25],rectangle
green,[11 65],circle
blue,[39  7],circle
orange,[25 33],rectangle
gray,[49 66],circle
yellow,[60 45],circle
red,[18 56],rectangle
green,[21 36],circle
blue,[46 35],circle
orange,[52 10],circle
gray,[ 8 13],rectangle
yellow,[50 57],circle
red,[10 37],rectangle
green,[36 25],rectangle
blue,[65 64],circle
orange,[17 10],circle
gray,[47 46],circle
yellow,[29 60],rectangle
red,[41 63],rectangle
green,[26 47],circle
blue,[69 59],circle
orange,[47 38],circle
gray,[51 21],circle
yellow,[22 28],rectangle
red,[10 46],rectangle
green,[ 7 31],circle
blue,[53  8],rectangle
orange,[15 65],rectangle
gray,[37 48],rectangle
yellow,[ 6 11],rectangle
red,[64 38],circle
green,[33  9],rectangle
blue,[ 7 45],rectangle
orange,[52  9],rectangle
gray,[37 54],rectangle
yellow,[17 30],rectangle
red,[39 46],circle
green,[29 28],circle
blue,[11 56],rectangle
orange,[ 9 28],rectangle
gray,[21 10],circle
yellow,[62 63],rectangle
red,[46 32],circle
green,[51 54],circle
blue,[33 44],rectangle
orange,[68 47],rectangle
gray,[30 62],circle
yellow,[12 64],circle
red,[27 47],rectangle
green,[26 22],circle
blue,[69 18],rectangle
orange,[51 19],rectangle
gray,[10 15],rectangle
yellow,[64 57],rectangle
red,[50 31],rectangle
green,[59 58],circle
blue,[45  6],circle
orange,[12 10],rectangle
gray,[39 64],circle
yellow,[23 65],circle
red,[ 5 28],rectangle
green,[56 21],circle
blue,[32 24],rectangle
orange,[62 37],rectangle
gray,[10 58],circle
yellow,[32 42],circle
red,[ 6 59],circle
green,[49 29],circle
blue,[63 69],circle
orange,[36 14],rectangle
gray,[60 47],rectangle
yellow,[6 8],rectangle
red,[66 35],circle
green,[23 36],rectangle
blue,[50  9],rectangle
orange,[37 55],circle
gray,[23  9],circle
yellow,[46 31],rectangle
red,[44 57],rectangle
green,[23 18],rectangle
blue,[50 36],rectangle
orange,[62 65],circle
gray,[66 11],circle
yellow,[26 45],circle
red,[27 32],rectangle
green,[63 31],rectangle
blue,[59 55],rectangle
orange,[32 64],rectangle
gray,[43 32],rectangle
yellow,[ 8 41],rectangle
red,[26 50],circle
green,[58 61],circle
blue,[28 29],circle
orange,[27  8],circle
gray,[57 11],circle
yellow,[ 6 60],circle
red,[31 64],circle
green,[15 29],circle
blue,[60 50],rectangle
orange,[10 49],circle
gray,[32  7],circle
yellow,[51 24],circle
red,[15 50],rectangle
green,[ 8 69],circle
blue,[46 11],circle
orange,[68 43],circle
gray,[61 22],rectangle
yellow,[35 37],rectangle
red,[52 41],circle
green,[26 14],circle
blue,[59 68],circle
orange,[10 55],circle
gray,[ 7 10],circle
yellow,[64 20],rectangle
red,[41 33],rectangle
green,[23 64],circle
blue,[ 9 51],rectangle
orange,[57 15],circle
gray,[62 50],circle
yellow,[25 33],rectangle
red,[46 68],rectangle
green,[43 10],circle
blue,[24 22],rectangle
orange,[42 42],circle
gray,[27 65],rectangle
yellow,[15 48],rectangle
red,[47 45],rectangle
green,[49 69],circle
blue,[61 37],rectangle
orange,[18 55],rectangle
gray,[49 15],rectangle
yellow,[37 28],rectangle
red,[15 14],circle
green,[ 7 34],circle
blue,[29 26],rectangle
orange,[61 56],circle
gray,[64 35],circle
yellow,[49 44],circle
red,[36 13],rectangle
green,[13 23],circle
blue,[68 12],circle
orange,[20  7],rectangle
gray,[65 69],circle
yellow,[55 20],circle
red,[25 68],circle
green,[45 50],circle
blue,[22 29],circle
orange,[54 28],rectangle
gray,[64 55],rectangle
yellow,[14 49],circle
red,[15 30],rectangle
green,[51 10],rectangle
blue,[33 33],rectangle
orange,[23  7],circle
gray,[51 64],circle
yellow,[31 68],circle
red,[51 25],circle
green,[17 47],circle
blue,[27 64],rectangle
orange,[46 47],rectangle
gray,[14 28],rectangle
yellow,[34  7],rectangle
red,[65 58],rectangle
green,[42 54],circle
blue,[62 27],rectangle
orange,[32 20],circle
gray,[ 5 32],rectangle
yellow,[47 28],circle
red,[17  9],circle
green,[40 22],rectangle
blue,[65 42],rectangle
orange,[10 57],rectangle
gray,[63 59],rectangle
yellow,[62  9],rectangle
red,[15 41],rectangle
green,[ 6 10],rectangle
blue,[23 22],rectangle
orange,[44 64],circle
gray,[44 16],circle
yellow,[62 61],circle
red,[31 42],circle
green,[25 16],circle
blue,[55 28],circle
orange,[65 69],rectangle
gray,[66 47],circle
yellow,[49 50],circle
red,[65 17],rectangle
green,[20 40],rectangle
blue,[49  7],circle
orange,[12  5],rectangle
gray,[69 34],rectangle
yellow,[41 32],circle
red,[63 18],circle
green,[14 53],rectangle
blue,[50 63],rectangle
orange,[ 5 15],rectangle
gray,[58 37],circle
yellow,[39 26],circle
red,[54  5],circle
green,[67 46],rectangle
blue,[18 58],circle
orange,[67 25],circle
gray,[27 20],rectangle
yellow,[ 6 11],circle
red,[17 40],circle
green,[50 64],circle
blue,[26 64],rectangle
orange,[ 6 57],circle
gray,[48 11],rectangle
yellow,[33 31],rectangle
red,[22 67],rectangle
green,[64 59],rectangle
blue,[ 7 43],circle
orange,[49  7],circle
gray,[57 27],circle
yellow,[35 25],circle
red,[25 12],rectangle
green,[43 43],circle
blue,[ 6 58],circle
orange,[ 7 38],rectangle
gray,[46 66],circle
yellow,[63 27],rectangle
red,[20 65],rectangle
green,[41 65],circle
blue,[59 35],rectangle
orange,[ 8 26],circle
gray,[63 14],rectangle
yellow,[65 56],rectangle
red,[38 68],circle
green,[45 22],circle
blue,[33 40],circle
orange,[68 11],rectangle
gray,[12 41],circle
yellow,[20  7],circle
red,[59 59],rectangle
green,[34 60],rectangle
blue,[42 24],circle
orange,[11 12],rectangle
gray,[24 36],rectangle
yellow,[62 23],circle
red,[41 39],circle
green,[57 22],circle
blue,[39 54],circle
orange,[61 46],rectangle
gray,[28  5],circle
yellow,[26 26],circle
red,[60 40],rectangle
green,[41 58],circle
blue,[12 17],rectangle
orange,[68 55],circle
gray,[24 49],circle
yellow,[49 15],rectangle
red,[62  8],circle
green,[29 23],circle
blue,[40 69],rectangle
orange,[15 50],rectangle
gray,[10 11],rectangle
yellow,[64 35],rectangle
red,[64 19],circle
green,[30 13],circle
blue,[46  6],rectangle
orange,[12 51],circle
gray,[46 46],rectangle
yellow,[ 9 66],rectangle
red,[61 15],circle
green,[32 26],rectangle
blue,[17 37],circle
orange,[65 52],rectangle
gray,[26 57],rectangle
yellow,[12 18],circle
red,[18 10],circle
green,[ 5 66],rectangle
blue,[11 48],rectangle
orange,[35 50],rectangle
gray,[59 23],circle
yellow,[22 65],rectangle
red,[44 45],circle
green,[59 55],circle
blue,[35 18],circle
orange,[23 40],circle
gray,[68 19],rectangle
yellow,[38 60],circle
red,[ 5 55],rectangle
green,[58 39],rectangle
blue,[15 28],rectangle
orange,[57 21],rectangle
gray,[16 68],rectangle
yellow,[30 20],rectangle
red,[60 13],rectangle
green,[69 29],rectangle
blue,[20 31],rectangle
orange,[50 43],rectangle
gray,[39 26],rectangle
yellow,[ 5 63],rectangle
red,[67 53],rectangle
green,[ 7 43],rectangle
blue,[34 28],rectangle
orange,[55 32],circle
gray,[24 16],rectangle
yellow,[36 50],rectangle
red,[37 40],rectangle
green,[20 42],circle
blue,[ 6 58],rectangle
orange,[33 18],rectangle
gray,[31 67],circle
yellow,[ 7 16],circle
red,[35 15],rectangle
green,[52 32],circle
blue,[32 48],rectangle
orange,[65  5],rectangle
gray,[40 64],rectangle
yellow,[ 5 17],circle
red,[ 5 57],rectangle
green,[64 28],rectangle
blue,[49 31],circle
orange,[16 25],rectangle
gray,[63 43],circle
yellow,[58 66],rectangle
red,[39 22],rectangle
green,[11  6],circle
blue,[19 53],rectangle
orange,[21 19],rectangle
gray,[60 10],circle
yellow,[49 34],rectangle
red,[67 46],circle
green,[38 49],rectangle
blue,[56 64],rectangle
orange,[18 36],rectangle
gray,[22  6],rectangle
yellow,[31 19],circle
red,[15 18],circle
green,[63 40],rectangle
blue,[53 27],circle
orange,[54  5],rectangle
gray,[67 14],circle
yellow,[39 56],circle
red,[29 64],rectangle
green,[41 25],rectangle
blue,[10 63],circle
orange,[66 38],rectangle
gray,[26 46],circle
yellow,[42  9],rectangle
red,[17 25],circle
green,[ 5 38],circle
blue,[37 14],rectangle
orange,[55 29],circle
gray,[47 46],circle
yellow,[68 46],rectangle
red,[65 35],circle
green,[32 48],rectangle
blue,[29 23],rectangle
orange,[50 28],rectangle
gray,[11 36],circle
yellow,[64 69],circle
red,[55 11],circle
green,[23 25],circle
blue,[48 68],rectangle
orange,[24  8],circle
gray,[67 42],rectangle
yellow,[9 6],rectangle
red,[33 55],rectangle
green,[22 24],rectangle
blue,[62 51],rectangle
orange,[48 45],circle
gray,[51 22],circle
yellow,[16  8],circle
red,[ 7 50],rectangle
green,[42  5],circle
blue,[40 68],rectangle
orange,[35 50],circle
gray,[56 16],circle
yellow,[27 33],circle
red,[ 5 31],circle
green,[53 24],rectangle
blue,[26 60],rectangle
orange,[48 65],circle
gray,[49 45],circle
yellow,[ 5 53],circle
red,[57 60],circle
green,[36 12],circle
blue,[ 6 31],circle
orange,[27 45],circle
gray,[10 63],circle
yellow,[7 9],circle
red,[67 59],rectangle
green,[10 57],rectangle
blue,[ 5 33],rectangle
orange,[34 68],rectangle
gray,[37 44],rectangle
yellow,[50  6],rectangle
red,[25 12],circle
green,[40 60],rectangle
blue,[57 56],rectangle
orange,[57 22],rectangle
gray,[34 44],circle
yellow,[25 32],rectangle
red,[50 28],rectangle
green,[14 47],rectangle
blue,[69 26],rectangle
orange,[12 26],circle
gray,[53  6],circle
yellow,[30 19],circle
red,[46 15],circle
green,[22  9],rectangle
blue,[24 62],rectangle
orange,[65  5],rectangle
gray,[32 25],rectangle
yellow,[29 44],circle
red,[52 45],rectangle
green,[53 62],rectangle
blue,[20 27],circle
orange,[42 31],rectangle
gray,[68 26],rectangle
yellow,[26 67],rectangle
